,date,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°)
148,2016-05-28,24.99,0.0,0.0,48.75,1.42,46.92,64.33,10.62,215.54
149,2016-05-29,24.84,0.0,0.0,27.92,2.75,15.62,53.38,11.42,203.25
150,2016-05-30,22.42,0.3,0.3,85.33,47.04,64.25,97.33,8.05,194.38
151,2016-05-31,24.19,0.03,0.03,53.54,32.17,16.83,62.42,8.73,176.33
152,2016-06-01,23.57,0.0,0.0,44.0,27.0,8.04,51.75,9.5,104.88
153,2016-06-02,19.7,0.0,0.0,40.25,28.96,5.83,38.92,10.95,97.21
154,2016-06-03,18.77,0.38,0.38,98.0,95.38,50.12,90.96,7.22,137.33
155,2016-06-04,22.25,0.03,0.03,86.21,69.46,22.12,52.46,6.48,204.79
156,2016-06-05,21.12,0.35,0.35,99.75,68.0,74.88,96.62,11.45,150.17
157,2016-06-06,23.02,0.08,0.08,24.12,4.08,23.0,22.17,13.69,250.75
158,2016-06-07,24.6,0.0,0.0,27.88,0.62,27.38,35.96,11.98,243.25
159,2016-06-08,17.9,0.45,0.45,30.38,10.54,29.54,23.25,17.15,299.33
160,2016-06-09,17.41,0.0,0.0,9.83,7.92,3.75,2.29,21.26,294.17
161,2016-06-10,19.14,0.0,0.0,2.17,0.0,0.0,7.04,14.5,306.83
162,2016-06-11,21.11,0.01,0.01,34.58,6.75,18.96,56.96,9.89,249.96
163,2016-06-12,25.7,0.0,0.0,3.88,0.46,5.0,1.75,19.03,282.54
164,2016-06-13,18.66,0.0,0.0,27.04,10.5,16.42,25.67,20.77,321.92
165,2016-06-14,20.03,0.0,0.0,14.25,0.92,10.92,22.88,12.65,322.75
166,2016-06-15,22.64,0.0,0.0,14.12,0.0,0.54,45.83,6.89,278.04
167,2016-06-16,21.82,0.0,0.0,51.54,0.54,45.42,79.46,5.66,173.08
168,2016-06-17,21.02,0.06,0.06,45.92,5.79,30.54,74.21,7.52,119.33
169,2016-06-18,21.24,0.0,0.0,13.12,0.0,21.75,0.08,6.64,211.38
170,2016-06-19,23.06,0.0,0.0,27.83,0.0,30.75,31.21,10.2,176.5
171,2016-06-20,22.24,0.0,0.0,21.08,4.25,17.5,22.25,7.83,126.5
172,2016-06-21,25.88,0.16,0.16,23.33,0.96,15.58,43.58,12.34,251.46
173,2016-06-22,24.37,0.0,0.0,14.79,3.29,18.83,1.5,9.46,224.71
174,2016-06-23,23.34,0.13,0.13,44.33,7.58,35.54,60.54,3.85,211.79
175,2016-06-24,23.55,0.0,0.0,26.33,3.42,27.75,21.96,9.12,104.29
176,2016-06-25,22.3,0.0,0.0,26.12,13.79,22.04,1.33,8.07,96.0
177,2016-06-26,22.96,0.0,0.0,31.42,3.92,28.88,35.17,8.4,191.75
178,2016-06-27,22.76,0.01,0.01,46.29,11.71,33.92,59.25,12.6,190.79
179,2016-06-28,22.52,0.64,0.64,98.75,81.5,64.17,70.0,10.55,165.33
180,2016-06-29,23.99,0.09,0.09,58.33,49.08,24.08,17.08,6.88,247.25
181,2016-06-30,24.64,0.0,0.0,15.92,2.42,20.92,3.96,8.08,291.79
182,2016-07-01,24.12,0.15,0.15,40.75,15.17,30.38,29.46,10.65,179.83
183,2016-07-02,22.42,0.03,0.03,23.0,4.38,12.71,38.21,15.02,285.88
184,2016-07-03,22.95,0.0,0.0,42.33,0.79,21.96,94.92,8.69,270.21
185,2016-07-04,23.41,0.0,0.0,47.33,17.67,31.0,69.67,10.34,224.79
186,2016-07-05,24.45,0.38,0.38,83.08,72.83,57.92,54.04,8.55,230.5
187,2016-07-06,28.38,0.0,0.0,17.67,0.96,19.12,17.67,6.96,241.08
188,2016-07-07,28.15,0.08,0.08,34.92,6.08,30.42,37.0,7.42,208.12
189,2016-07-08,26.54,0.32,0.32,43.75,15.33,24.58,51.38,9.08,178.29
190,2016-07-09,20.92,0.62,0.62,99.75,98.33,60.62,33.29,12.17,120.29
191,2016-07-10,22.54,0.2,0.2,71.38,55.67,29.79,22.75,8.45,221.17
192,2016-07-11,22.56,0.0,0.0,42.42,25.38,10.5,59.88,9.88,230.5
193,2016-07-12,23.43,0.0,0.0,36.0,12.0,15.38,55.04,8.5,193.29
194,2016-07-13,24.77,0.01,0.01,35.33,13.79,30.38,15.54,11.14,195.92
195,2016-07-14,26.18,0.28,0.28,64.83,45.38,27.21,29.29,9.31,179.75
196,2016-07-15,28.51,0.0,0.0,20.79,3.62,13.67,31.08,8.52,248.25
197,2016-07-16,27.74,0.25,0.25,25.58,1.33,17.42,46.38,8.11,193.17
198,2016-07-17,27.13,0.01,0.01,38.54,6.92,28.88,50.12,6.91,245.75
199,2016-07-18,27.83,0.07,0.07,22.96,0.83,8.83,56.33,10.8,240.38
200,2016-07-19,25.47,0.0,0.0,16.33,0.08,11.46,31.54,13.75,297.71
201,2016-07-20,23.82,0.0,0.0,35.38,6.17,47.67,3.42,5.61,101.88
202,2016-07-21,25.25,0.0,0.0,9.21,0.25,12.79,4.38,9.0,227.83
203,2016-07-22,27.56,0.0,0.0,18.88,0.12,8.75,44.92,15.66,228.54
204,2016-07-23,29.67,0.0,0.0,4.92,0.46,7.12,0.58,14.41,277.5
205,2016-07-24,27.72,0.0,0.0,12.62,0.29,0.33,40.58,6.77,285.25
206,2016-07-25,27.0,0.64,0.64,52.17,10.29,27.88,90.25,10.29,218.79
207,2016-07-26,26.18,0.02,0.02,17.08,4.25,5.46,33.21,11.88,288.38
208,2016-07-27,27.48,0.0,0.0,23.92,3.38,17.25,34.58,5.98,265.92
209,2016-07-28,27.21,0.0,0.0,29.08,8.04,19.67,33.71,6.47,195.62
210,2016-07-29,25.58,1.05,1.05,72.0,29.29,64.21,60.79,8.65,94.33
211,2016-07-30,25.15,0.55,0.55,66.38,39.62,37.29,48.33,6.19,169.71
212,2016-07-31,24.29,0.71,0.71,96.58,57.38,82.12,61.71,10.05,114.79
213,2016-08-01,23.44,0.04,0.04,99.79,99.25,22.92,45.0,9.06,75.38
214,2016-08-02,22.89,0.04,0.04,87.38,77.79,32.42,20.12,8.93,68.67
